title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme
The Prelude (Book I),William Wordsworth,1850,Romantic,Romanticism,Narrative,Descriptive,Expository,Monologue,First person,Extradiegetic,First person internal,First person singular,Autocentric,Implied,Nature,Retrospective,Flashback,English Romanticism,Narrative,Poetry,Four-line stanzas with a rhyme scheme of AABB,Iambic pentameter,A rhyming poem
Michael,William Wordsworth,1800,Romantic,Romanticism,Narrative,Epideictic,Descriptive,Expository,Third person,Mimetic,External,Third person,Extradiegetic,General,N/A,Past,Linear,British Romantic Poetry,Narrative,Lyric Poetry,Quatrains,Iambic pentameter,AABB
Expostulation and Reply,William Wordsworth,1798,Romantic,Romanticism,Conversational,Dialectic,Monologue and Dialogue,Poetic,Extradiegetic,Mimetic,First person,Speaker,Second person,God,Nature,Present,Sequential,British Romanticism,Lyric,Lyric poetry,Quatrains,Iambic pentameter,AABB
The Tables Turned,William Wordsworth,1798,Romantic,Romanticism,Didactic,Epideictic,Expository,Prose Poem,Extradiegetic,None,First person (narrator),First person singular,Second person (reader),General,Nature,Present,Static,British Romanticism,Lyric,Poem,Quatrains,Iambic pentameter,AABB
Christabel,Samuel Taylor Coleridge,1816,Romantic,Romanticism,Gothic,Narrative,Linear,Expository,Third person omniscient,Mimetic,Omniscient,nan,External,Implied,nan,Past,Chronological,British Romanticism,Narrative,Gothic poetry,Quatrains,Iambic pentameter,AABB
This Lime-Tree Bower My Prison,Samuel Taylor Coleridge,1800,Romantic,Romanticism,Admiring,Epideictic,Descriptive,Expository,nan,Mimetic,First person,Speaker,First person,Implied,Lime-tree bower,Present,Static,British Romanticism,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
The Pains of Sleep,Samuel Taylor Coleridge,1816,Romantic,Romanticism,Meditative,Epideictic,Descriptive,Expository,First person,Extradiegetic,First person internal,Speaker,Second person,Imaginary,Sleep,Present,Static,British Romanticism,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
Work Without Hope,Samuel Taylor Coleridge,1828,Romantic,Romanticism,Meditative,Epideictic,Descriptive,Expository,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,Poetry,Quatrains,Anapestic tetrameter,AABB
On First Looking into Chapman's Homer,John Keats,1816,Romantic,Romanticism,Admiring,Descriptive,Exposition,Poetic,Extradiegetic,Mimetic,First person,Speaker,First person,Implied,Chapman's Homer,Past,Flashback,Classical,Lyric,Epigram,Quatrains,Iambic pentameter,AABB
Sleep and Poetry,John Keats,1817,Romantic,Romanticism,Meditative,Epideictic,Descriptive,Poetic,Extradiegetic,None,First person (poetic I),Speaker,Second person,Imaginary,Sleep,Present,Static,British Romanticism,Lyric,Poetry,Quatrains,Iambic pentameter,ABAB
The Eve of St. Agnes,John Keats,1820,Romantic,Romanticism,Formal,Narrative,Linear,Expository,Third person omniscient,Mimetic,Omniscient,nan,Past,Indirect,nan,Past,Chronological,British Romanticism,Narrative,Gothic Romance,Quatrains,Iambic pentameter,AABBCCDD
Ode to Psyche,John Keats,1820,Romantic,Romanticism,Admiring,Epideictic,stanzaic,poetic,nan,non-diegetic,third-person,nan,timeless,abstract,nan,timeless,nan,nan,lyric,ode,quatrains,iambic pentameter,ababcc
Lamia,John Keats,1820,Romantic,Romanticism,Narrative,Narrative,Exposition,Poetic,Third person,Fictional,External,Third person,External,Implied,Lamia,Past,Linear,British Romanticism,Narrative,Narrative poetry,Quatrains,Iambic pentameter,AABB
Isabella,John Keats,1820,Romantic,Romanticism,Admiring,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,Quatrains,Iambic pentameter,ABAB
Hyperion,John Keats,1820,Romantic,Romanticism,Epic,Narrative,Exposition,Poetic,Third person omniscient,Mimetic,Omniscient,Third person,External,Implied,N/A,Past,Chronological,Classical,Narrative,Epic,"Four stanzas of five tercets each, followed by a final quatrain",Iambic pentameter,A B A R R
Hymn to Intellectual Beauty,Percy Bysshe Shelley,1817,Romantic,Romanticism,Admiring,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,nan,Iambic pentameter,A B A B C C D D E E F E
The Mask of Anarchy,Percy Bysshe Shelley,1832,Romantic,Romanticism,Prophetic,Epideictic,Monologue,Poetic,Extradiegetic,None,Third person omniscient,None,Second person,Anonymous,Anarchy,Future,Progressive,British Romanticism,Lyric,Propaganda poem,Quatrains,Iambic pentameter,AABB
Epipsychidion,Percy Bysshe Shelley,1821,Romantic,Romanticism,Love,Epideictic,Monologue,Expressive,First person,Non-diegetic,First person internal,First person singular,Second person,Beloved,You,Present,Sequential,British Romanticism,Lyric,Love poetry,Quatrains,Iambic pentameter,ABAB
Alastor,Percy Bysshe Shelley,1816,Romantic,Romanticism,Narrative,Epideictic,Expository,Poetic,Third person,Extradiegetic,Omniscient,nan,Third person,General,nan,Past,Chronological,British Romanticism,Narrative,Lyric Narrative,Quatrains,Iambic pentameter,AABB
The Triumph of Life,Percy Bysshe Shelley,1824,Romantic,Romanticism,Elevated,Epideictic,Monologue,Expository,Extradiegetic,None,First person (narrator),Narrator,Third person,General,None,Past,Linear,British Romanticism,Lyric,Philosophical Poem,Irregular,Irregular,AABBCCDD
The Cloud,Percy Bysshe Shelley,1820,Romantic,Romanticism,Imaginative,Descriptive,Paragraphic,Expository,Extradiegetic,None,Third person,None,None,General,None,Present,Static,British Romanticism,Lyric,Poetry,Irregular,Iambic pentameter,AABBCCDD
To Night,Percy Bysshe Shelley,1824,Romantic,Romanticism,Admiring,Epideictic,Descriptive,Poetic,nan,nan,nan,nan,nan,Imaginary,nan,Present,Static,British Romanticism,Lyric,Lyric Poetry,Quatrains,Iambic pentameter,AABB
Childe Harold's Pilgrimage (Canto I),Lord Byron,1812,Romantic,Romanticism,Admiring,Epideictic,Descriptive,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Second person,Imaginary,nan,Past,Chronological,British Romanticism,Lyric,Long poem,Quatrains,Iambic pentameter,AABB
Childe Harold's Pilgrimage (Canto III),Lord Byron,1816,Romantic,Romanticism,Admiring,Epideictic,Descriptive,Expository,Extradiegetic,Mimetic,External,First person (narrator),Third person,Implied,The landscape and its inhabitants,Past,Chronological,British Romanticism,Lyric,Long poem,Quatrains,Iambic pentameter,ABAB
Childe Harold's Pilgrimage (Canto IV),Lord Byron,1818,Romantic,Romanticism,Admiring,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,Past,Chronological,nan,Lyric,Epic,Quatrains,Iambic pentameter,AABB
Don Juan (Canto I),Lord Byron,1819,Romantic,Romanticism,Satirical,Epideictic,Narrative,Expository,Third person omniscient,Mimetic,External,Third person,Extradiegetic,Implied,Don Juan,Past,Linear,British Romanticism,Narrative,Long narrative poem,Quatrains,Iambic pentameter,AABB
Don Juan (Canto II),Lord Byron,1819,Romantic,Romanticism,Epic,Narrative,Linear,Expository,Third person omniscient,Mimetic,Omniscient,Third person,External,Implied,Don Juan and his seductions,Chronological,Sequential,British Romanticism,Narrative,Epic poem,Quatrains,Iambic pentameter,AABB
The Vision of Judgment,Lord Byron,1822,Romantic,Romanticism,Formal,Epideictic,Monologue,Poetic,Extradiegetic,None,Third person omniscient,None,None,General,None,Future,Linear,British Romanticism,Narrative,Epic,Quatrains,Iambic pentameter,AABB
Darkness,Lord Byron,1816,Romantic,Romanticism,Gothic,Epideictic,Descriptive,Poetic,Extradiegetic,None,Third person omniscient,None,None,General,None,Timeless,Static,British Romanticism,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
Manfred,Lord Byron,1817,Romantic,Romanticism,Formal,Dramatic,Monologue,Expository,Third person,Mimetic,External,Third person,Extradiegetic,Implied,N/A,Past,Linear,Gothic,Narrative,Drama,Quatrains,Iambic pentameter,ABAB
Stanzas for Music,Lord Byron,1816,Romantic,Romanticism,Admiring,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,Quatrains,Iambic pentameter,AABB
So We'll Go No More A-Roving,Lord Byron,1817,Romantic,Romanticism,Melancholic,Epideictic,Monologue,Poetic,Extradiegetic,None,First person,Speaker,Second person,Imaginary,Nature,Past,Flashback,British,Lyric,Lyric poetry,Quatrains,Iambic pentameter,AABB
Morte d'Arthur,Alfred Tennyson,1842,Victorian,Romanticism,Formal,Epideictic,Narrative,Expository,Third person,Mimetic,Omniscient,nan,Third person,General,nan,Past,Chronological,British,Narrative,Epic,Quatrains,Iambic pentameter,AABB
Locksley Hall,Alfred Tennyson,1842,Victorian,Romanticism,Nostalgic,Epideictic,Monologue,Expository,First person,Non-diegetic,First person internal,Speaker,Second person,Imaginary,Locksley Hall,Past,Flashback,British Romanticism,Narrative,Lyric,Quatrains,Iambic pentameter,AABB
The Lotos-Eaters,Alfred Tennyson,1832,Romantic,Romanticism,Narrative,Epideictic,Descriptive,Expository,Third person,Mimetic,Omniscient,nan,External,Implied,nan,Past,Linear,British Romanticism,Narrative,Lyric Poem,Quatrains,Iambic pentameter,AABB
Tithonus,Alfred Tennyson,1860,Victorian,Romanticism,Elegiac,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person,None,External,General,None,Past,Linear,Classical,Lyric,Epigram,Quatrains,Iambic pentameter,AABB
Mariana,Alfred Tennyson,1830,Romantic,Romanticism,Melancholic,Epideictic,Descriptive,Poetic,nan,Non-diegetic,Third person,nan,Second person,Imaginary,nan,Past,Flashback,British,Lyric,Lyric poetry,Quatrains,Iambic pentameter,AABB
The Palace of Art,Alfred Tennyson,1832,Romantic,Romanticism,Admiring,Epideictic,Descriptive,Poetic,Extradiegetic,Non-diegetic,Third person omniscient,nan,Second person,Imaginary,The Palace of Art,Present,Static,British Romanticism,Lyric,Descriptive poetry,Quatrains,Iambic pentameter,AABB
Maud,Alfred Tennyson,1855,Victorian,Victorian Poetry,Narrative,Epideictic,Monologue,Expository,Third person,Extradiegetic,Omniscient,nan,Extralocative,Implied,nan,Past,Linear,British Romanticism,Narrative,Long Narrative Poem,Quatrains,Iambic pentameter,AABB
The Passing of Arthur,Alfred Tennyson,1869,Victorian,Romanticism,Epic,Narrative,Exposition,Fictive,Third person,Mimetic,Omniscient,nan,Past,Indirect,nan,Past,Linear,British,Narrative,Epic,Quatrains,Iambic pentameter,AABB
The Holy Grail,Alfred Tennyson,1869,Victorian,Romanticism,Epic,Narrative,Descriptive,Expository,Third person omniscient,Mimetic,External,Third person,Anaphoric,General,The Holy Grail,Past,Linear,Arthurian legend,Narrative,Epic poem,Quatrains,Iambic pentameter,AABB
Soliloquy of the Spanish Cloister,Robert Browning,1842,Victorian,Victorianism,Meditative,Epideictic,Monologue,Expository,First person,Internal,First person,Female,Subjective,Implied,Self,Past,Flashback,Romanticism,Drama,Lyric Poem,Quatrains,Iambic pentameter,AABB
The Bishop Orders His Tomb at Saint Praxed's Church,Robert Browning,1845,Victorian,Victorianism,Formal,Epideictic,Monologue,Expository,Third person,Mimetic,External,Third person,Past,Implied,The tomb of the bishop,Past,Linear,Browning's poetry is often classified as part of the Victorian literary tradition,Narrative,Narrative poetry,"Four stanzas, each with eight lines",Iambic pentameter,AABBCCDD
Love Among the Ruins,Robert Browning,1855,Victorian,Victorianism,Formal,Epideictic,Monologue,Expository,Extradiegetic,Mimetic,First person,Speaker,Second person,Imaginary,Ruins,Past,Flashback,British Romanticism,Drama,Lyric Poem,Quatrains,Iambic pentameter,AABB
Childe Roland to the Dark Tower Came,Robert Browning,1855,Victorian,Victorianism,Formal,Narrative,Monologue,Expository,Third person limited,Realistic,External,Third person,Past,Implied,Dark Tower,Past,Linear,British Romanticism,Narrative,Epic,Quatrains,Iambic pentameter,AABB
A Toccata of Galuppi's,Robert Browning,1855,Victorian,Victorianism,Formal,Mimetic,Monologue,Expressive,First person,Internal,First person,Monodrama,Second person,Imaginary,Music,Past,Flashback,British Romanticism,Drama,Lyric Drama,Quatrains,Iambic pentameter,AABB
The Pied Piper of Hamelin,Robert Browning,1842,Victorian,Romanticism,Narrative,Narrative,Story,Third person,Extradiegetic,Mimetic,Omniscient,Third person,External,Implied,Hamelin,Past,Linear,Oral tradition,Narrative,Fable,Quatrains,Iambic pentameter,AABBCC
Rabbi Ben Ezra,Robert Browning,1864,Victorian,Victorianism,Formal,Dramatic,Monologue,Expository,Third person internal,Mimetic,Internal,Rabbi Ben Ezra,First person,God,The book of Psalms,Past,Flashback,Jewish,Drama,Religious poetry,Quatrains,Iambic pentameter,AABB
Caliban upon Setebos,Robert Browning,1864,Victorian,Victorianism,Monologue,Dramatic,Monologue,Expository,Third person internal,Mimetic,Limited,Caliban,External,Implied,,Past,Flashback,British Romanticism,Drama,Poetry,Irregular,Irregular,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C
Abt Vogler,Robert Browning,1864,Victorian,Victorianism,Formal,Epideictic,Monologue,Expository,Third person,Mimetic,External,Third person,Static,General,Abt Vogler,Past,Linear,British Romanticism,Drama,Poetry,Irregular,Iambic pentameter,AABBCCDD
Sonnet 1: I thought once,Elizabeth Barrett Browning,1850,Victorian,Romanticism,Introspective,Epideictic,Cohesive,Expository,First person,Non-diegetic,First person internal,First person singular,Static,Implied,None,Reflective,Chronological,English sonnet tradition,Lyric,Lyric poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
Sonnet 14: If thou must love me,Elizabeth Barrett Browning,1850,Victorian,Romanticism,Admiring,Epideictic,Three quatrains followed by a couplet,Poetic,nan,Non-diegetic,Third person,nan,Second person,Beloved,nan,Present,Static,English sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
Sonnet 22: When our two souls,Elizabeth Barrett Browning,1850,Victorian,Romanticism,Admiring,Epideictic,Three quatrains and a couplet,Poetic,Extradiegetic,Non-diegetic,Third person,None,Static,Implied,None,Present,Simple,English sonnet tradition,Lyric,Love poetry,Three quatrains and a couplet,Iambic pentameter,ABABCDCDEFEFGG
Aurora Leigh (Book I),Elizabeth Barrett Browning,1856,Victorian,Victorian Poetry,Formal,Didactic,Monologue,Expository,Third person internal,Extradiegetic,Omniscient,Female,First person,General,N/A,Past,Linear,British Romanticism,Narrative,Novel in Verse,Quatrains,Iambic pentameter,AABB
Aurora Leigh (Book V),Elizabeth Barrett Browning,1856,Victorian,Victorian Poetry,Formal,Didactic,Monologue,Expository,Third person internal,Mimetic,Internal,Female,First person,Implied,The sun,Past,Linear,British Romanticism,Narrative,Long Poem,Quatrains,Iambic pentameter,AABB
Lady Geraldine's Courtship,Elizabeth Barrett Browning,1844,Victorian,Romanticism,Formal,Narrative,Linear,Expository,Third person,Exterior,Omniscient,nan,External,General,nan,Past,Chronological,British,Narrative,Poem,Quatrains,Iambic pentameter,AABB
Amor Mundi,Christina Rossetti,1865,Victorian,Pre-Raphaelitism,Meditative,Epideictic,Descriptive,Expository,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
Echo,Christina Rossetti,1862,Victorian,Pre-Raphaelitism,Lyrical,Descriptive,Narrative,Expository,First person,Mimetic,Internal,Female,Second person,Reader,Nature,Present,Static,English Romanticism,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
A Triad,Christina Rossetti,1856,Victorian,Pre-Raphaelitism,Meditative,Epideictic,Three-part structure,Poetic,nan,Non-diegetic,Third person omniscient,nan,Non-deictic,Imaginary,nan,Past,Flashback,British,Lyric,Lyric poetry,Three quatrains and a couplet,Iambic pentameter,AABB AABB CC
Monna Innominata,Christina Rossetti,1881,Victorian,Pre-Raphaelitism,Admiring,Epideictic,Descriptive,Expository,nan,nan,nan,nan,nan,nan,nan,nan,nan,British,Lyric,Sonnet,Three quatrains and a couplet,Iambic pentameter,ABAB CDCD EFEF GG
The Convent Threshold,Christina Rossetti,1862,Victorian,Pre-Raphaelitism,Reflective,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,Static,General,None,Past,Simple,British,Lyric,Poem,Quatrains,Iambic pentameter,AABB
Winter: My Secret,Christina Rossetti,1862,Victorian,Pre-Raphaelitism,Introspective,Descriptive,Paragraphic,Expository,First person,Non-diegetic,Internal,First person singular,Subjective,Implied,Nature,Present,Static,English literary tradition,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
Thyrsis,Matthew Arnold,1866,Victorian,nan,Elegiac,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,Past,nan,Classical,Lyric,Elegy,Sonnet,Iambic pentameter,ABABCDCDEFEFGG
Sohrab and Rustum,Matthew Arnold,1853,Victorian,Romanticism,Epic,Narrative,"Exposition, Development, Closure",Expository,Third person omniscient,Mimetic,Omniscient,Third person,External,Implied,The reader,Past,Linear,Classical,Narrative,Epic Poem,Quatrains,Iambic pentameter,AABB
The Forsaken Merman,Matthew Arnold,1849,Victorian,Romanticism,Narrative,Epideictic,Descriptive,Expository,Third person,Extradiegetic,Omniscient,nan,Third person,General,nan,Past,Simple,British Romanticism,Lyric,Narrative Poem,Quatrains,Iambic pentameter,AABB
Empedocles on Etna,Matthew Arnold,1852,Victorian,Romanticism,Elevated,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,None,External,General,Mount Etna,Past,Linear,Classical,Lyric,Narrative Poem,Quatrains,Iambic pentameter,AABB
Stanzas from the Grande Chartreuse,Matthew Arnold,1855,Victorian,nan,Meditative,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,nan,Quatrains,Iambic pentameter,AABB
Carrion Comfort,Gerard Manley Hopkins,1918,,,,,,,,,,,,,,,,,,,,,
"No Worst, There Is None",Gerard Manley Hopkins,1918,Modernist,Modernism,Admiring,Epideictic,Descriptive,Expository,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Lyric,Religious,Quatrains,Sprung rhythm,AABB
I Wake and Feel the Fell of Dark,Gerard Manley Hopkins,1918,Modernist,Modernism,Meditative,Epideictic,Descriptive,Expository,nan,nan,First person,First person singular,Subjective,Implied,nan,Present,Static,nan,Lyric,Poetry,Quatrains,Sprung rhythm,AABB
Felix Randal,Gerard Manley Hopkins,1918,Early 20th Century,Modernism,Narrative,Epideictic,Descriptive,Expository,Third Person,Mimetic,Omniscient,nan,Anaphoric,General,nan,Past,Linear,British,Lyric,Narrative Poem,Quatrains,Sprung rhythm,AABB
The Wreck of the Deutschland,Gerard Manley Hopkins,1918,Modernist,Modernism,Epideictic,Epideictic,Descriptive,Poetic,Extradiegetic,Mimetic,Third person omniscient,nan,External,Implied,The wreck of the Deutschland,Past,Chronological,Modernist poetry,Descriptive,Lyric,Quatrains,Sprung rhythm,AABB
Harry Ploughman,Gerard Manley Hopkins,1918,Modernist,Modernism,Observational,Descriptive,Expository,Narrative,Third person,Mimetic,Omniscient,nan,External,Implied,nan,Present,Synchronous,British,Descriptive,Poetry,Quatrains,Sprung rhythm,AABB
That Nature Is a Heraclitean Fire,Gerard Manley Hopkins,1918,Modernist,Modernism,Meditative,Epideictic,Descriptive,Expository,nan,nan,First person,Speaker,First person,Implied,Nature,Present,Static,Modernist Poetry,Lyric,Descriptive Poetry,Free,Sprung rhythm,A-B-C-B-A-B-C-B-A-B-C-B-A-B-C-B-A-B-C-B-A-B-C-B-A-B-C-B
Tell all the truth but tell it slant,Emily Dickinson,1945,Victorian,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,American,Lyric,nan,Quatrains,nan,AABB
Much Madness is divinest Sense,Emily Dickinson,1890,Late 19th Century,Late Romanticism,Meditative,Epideictic,Paragraphic,Reflective,First person,Non-diegetic,First person internal,First person singular,Subjective,Implied,None,Timeless,A-temporal,American,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
"I felt a Funeral, in my Brain",Emily Dickinson,1896,Late 19th Century,"Romanticism, Modernism",Introspective,Reflective,Monologue,First person,Internal,Internal,First person,First person singular,Subjective,Implied,Funeral,Retrospective,Flashback,American,Lyric,Poetry,Quatrains,Iambic tetrameter,AABB
I taste a liquor never brewed,Emily Dickinson,1861,Victorian,Romanticism,Mystical,Epideictic,Descriptive,Poetic,First person,Non-diegetic,Internal,First person singular,Subjective,Implied,A liquor,Timeless,A-temporal,American,Lyric,Poetry,Quatrains,Iambic tetrameter,AABB
My Life had stood - a Loaded Gun,Emily Dickinson,1929,Victorian,Romanticism,Reflective,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,First person singular,Non-deictic,Implied,nan,Reflective,Flashback,American,Lyric,Lyric poetry,Quatrains,Iambic pentameter,AABB
I cannot live with You,Emily Dickinson,1890,Victorian,Romanticism,Formal,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,Speaker,First person,Implied,You,Present,Static,American,Lyric,Love poetry,Quatrains,Iambic pentameter,AABB
Safe in their Alabaster Chambers,Emily Dickinson,1862,Victorian,Romanticism,Meditative,Epideictic,Descriptive,Poetic,nan,Non-diegetic,First person,Speaker,Internal,Imaginary,Alabaster chambers,Present,Static,American,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
"It was not Death, for I stood up",Emily Dickinson,1891,Late 19th Century,Late Romanticism,Reflective,Epideictic,Monologue,Poetic,First person,Non-diegetic,First person internal,First person singular,Subjective,Implied,Not specified,Retrospective,Flashback,American,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
A Noiseless Patient Spider,Walt Whitman,1868,Victorian,Romanticism,Observational,Descriptive,Paragraphic,Expository,Extradiegetic,Mimetic,Omniscient,First person singular,Anaphoric,Implied,Spider,Present,Static,American,Lyric,Narrative poetry,Quatrains,Iambic pentameter,AABB
As I Ebb'd with the Ocean of Life,Walt Whitman,1860,Victorian,Romanticism,Elegiac,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,American,Lyric,nan,nan,Free verse,nan
The Sleepers,Walt Whitman,1855,Romantic,Romanticism,Elevated,Epideictic,Descriptive,Poetic,Extradiegetic,None,Omniscient,First person plural,None,Imaginary,None,Present,Static,American,Lyric,Poetry,Free,Free verse,None
There Was a Child Went Forth,Walt Whitman,1855,Victorian,Romanticism,Epideictic,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,American,Lyric,nan,Quatrains,Iambic pentameter,AABB
Passage to India,Walt Whitman,1871,Victorian,"Realism, Naturalism",Observational,Descriptive,Expository,Monologue,Third person omniscient,Mimetic,External,nan,Third person,Implied,nan,Present,Chronological,Modernist,Descriptive,Poetry,Free verse,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A
By Blue Ontario's Shore,Walt Whitman,1856,Victorian,Romanticism,Admiring,Descriptive,Expository,Poetic,nan,nan,nan,nan,nan,nan,nan,nan,nan,American,Lyric,Poetry,Free verse,Free verse,nan
Portrait of a Lady,T.S. Eliot,1915,Early 20th Century,Modernism,Formal,Descriptive,Expository,Monologue,Third person omniscient,External,Omniscient,nan,Third person,Implied,nan,Past,Chronological,nan,Lyric,nan,Four quatrains and a tercet,Iambic pentameter,"AABB, CC, DD, EE, FFF"
Rhapsody on a Windy Night,T.S. Eliot,1917,Modernist,Modernism,Meditative,Descriptive,Cohesive,Expository,Extradiegetic,None,Third person omniscient,None,Static,Implied,None,Present,Sequential,Modernist poetry,Lyric,Poetry,Irregular,Free verse,None
Sweeney Among the Nightingales,T.S. Eliot,1920,Modernist,Modernism,Narrative,Epideictic,Fragmented,Monologue,Third person,Non-diegetic,External,Third person,Non-deictic,Implied,nan,Non-linear,Flashback,Modernist poetry,Narrative,nan,Fragmented,Free verse,A-B-A-B-C-C-A-B-A-B-C-C-A-B-A-B-C-C
Ash Wednesday,T.S. Eliot,1930,Modernist,Modernism,Formal,Meditative,Monologue,Expository,First person,None,First person internal,Speaker,First person,Implied,None,Present,Flashback,Modernist Poetry,Lyric,Religious Poetry,Quatrains,Iambic pentameter,AABA
Marina,T.S. Eliot,1930,Modernist,Modernism,Formal,Descriptive,Fragmented,Expository,Third person,Mimetic,Omniscient,nan,Anaphoric,Implied,nan,Past,Linear,Modernist poetry,Lyric,Poetry,Quatrains,Free verse,A-B-A-B
Four Quartets: Burnt Norton,T.S. Eliot,1936,Modernist,Modernism,Meditative,Epideictic,Fragmented,Poetic,Extradiegetic,None,Omniscient,None,None,Implied,None,Nonlinear,Flashback,Modernist Poetry,Lyric,Lyric Poem,Quatrains,Free verse,None
Four Quartets: East Coker,T.S. Eliot,1940,Modernist,Modernism,Reflective,Epideictic,Fragmented,Poetic,Extradiegetic,None,Omniscient,None,None,Implied,None,Both past and present,Nonlinear,Modernist Poetry,Lyric,Long Poem,Quatrains,Free verse,None
The Song of Wandering Aengus,William Butler Yeats,1899,Romantic,Romanticism,Narrative,Epideictic,Descriptive,Expository,First person,External,First person,Speaker,Past,Implied,Aengus,Past,Linear,Modernist,Lyric,Narrative poetry,Quatrains,Iambic pentameter,AABB
Adam's Curse,William Butler Yeats,1904,Modernist,Modernism,Formal,Epideictic,Narrative,Expository,Third person,Extradiegetic,Omniscient,nan,Third person,General,nan,Past,Linear,British,Narrative,Lyric,Quatrains,Iambic pentameter,AABB
The Magi,William Butler Yeats,1914,Modernist,Modernism,Formal,Narrative,Descriptive,Expository,Third person omniscient,Mimetic,External,nan,Third person,Implied,The Magi,Past,Linear,British,Narrative,Narrative poetry,Quatrains,Iambic pentameter,AABB
In Memory of Major Robert Gregory,William Butler Yeats,1919,Modernist,Modernism,Formal,Epideictic,Descriptive,Expository,Extradiegetic,None,Third person omniscient,nan,None,General,nan,Past,Chronological,British,Lyric,Elegy,Quatrains,Iambic pentameter,AABB
A Prayer for My Daughter,William Butler Yeats,1921,Modernist,Modernism,Formal,Epideictic,Monologue,Poetic,Extradiegetic,None,First person (narrator),First person (narrator),None,General,None,Future,Linear,Modernist poetry,Lyric,Religious poetry,Quatrains,Iambic pentameter,ABAB
Byzantium,William Butler Yeats,1933,Modernist,Modernism,Mystical,Descriptive,Expository,Poetic,Extradiegetic,None,Third person omniscient,None,None,General,None,Future,Static,None,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
The Circus Animals' Desertion,William Butler Yeats,1939,Modernist,Modernism,Reflective,Epideictic,Narrative,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Second person,Imaginary,nan,Past,Linear,Modernist poetry,Lyric,nan,Quatrains,Iambic pentameter,AABB
Home Burial,Robert Frost,1914,Early 20th Century,Modernism,Reflective,Epideictic,Descriptive,Expository,Extradiegetic,Mimetic,Third person omniscient,nan,Second person,Imaginary,The reader,Past,Linear,American,Lyric,Narrative Poem,Quatrains,Iambic tetrameter,AABB
The Death of the Hired Man,Robert Frost,1914,Early 20th Century,Modernism,Narrative,Epideictic,Descriptive,Expository,Third Person,Mimetic,Omniscient,nan,Past,Implied,nan,Past,Linear,American,Narrative,Short Story,Quatrains,Iambic tetrameter,AABB
"Out, Out—",Robert Frost,1916,Early 20th Century,Modernism,Descriptive,Epideictic,Narrative,Expository,Extradiegetic,Mimetic,Third person,None,External,General,None,Past,Linear,American,Narrative,Poetry,Quatrains,Iambic tetrameter,AABB
The Oven Bird,Robert Frost,1916,Early 20th Century,Modernism,Observational,Descriptive,Expository,Monologue,Third person,Mimetic,External,nan,Extradiegetic,Implied,nan,Present,Static,American,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
Fire and Ice,Robert Frost,1920,Early 20th Century,Modernism,Neutral,Epideictic,Two-part parallel structure,Descriptive,Extradiegetic,None,Third person omniscient,None,None,General,None,Timeless,Static,American,Lyric,Poetry,Quatrains,Iambic pentameter,AABB
